claim_id,route,section,website_source_file,website_source_reference,website_claim,primary_classification,secondary_flags,ppt_supported,ppt_source_file,ppt_slide,ppt_source_summary,external_verification_required,legal_review_required,founder_approval_required,risk_level,approval_owner,recommended_action,notes
"HOME-008","/","mobile preview","apps/web/src/content/homepage.ts","lines 90-100","A future mobile experience may connect membership chapters events news and opportunities.","H","C;J","Yes","source-materials/Tamil-Ulagam-Source.pptx","7","Source asserts store availability and mobile capabilities.","Yes","Yes","Yes","High","Product","Defer until operational","Concept preview should not imply store availability."
"HOME-009","/","partnership invitation","apps/web/src/content/homepage.ts","lines 102-105","Associations institutions businesses and community leaders may help shape the platform.","B","E","Yes","source-materials/Tamil-Ulagam-Source.pptx","21","Source proposes partner categories and names institutions.","No","No","Yes","Medium","Partnerships","Founder review","Invitation does not imply existing affiliation."
"HOME-010","/","stories and CTA","apps/web/src/content/homepage.ts","lines 107-116","Future editorial stories will highlight community achievements and knowledge and invite participation in the vision.","C","E;J","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Medium","Editorial","Governance review","No article or testimonial is claimed."
"ABOUT-001","/about","metadata and hero","apps/web/src/app/about/page.tsx","lines 18-23","Tamil Ulagam is being built as a trusted bridge for identity culture community and opportunity.","B","E","Yes","source-materials/Tamil-Ulagam-Source.pptx","1-3","Digital bridge and global connection framing.","No","No","Yes","Medium","Founder","Founder review","Editorial trust claim requires ownership."
"ABOUT-002","/about","manifesto","apps/web/src/content/about.ts","lines 57-63","The Tamil world is global and its digital systems remain fragmented.","B","E;G","Yes","source-materials/Tamil-Ulagam-Source.pptx","3-4","Global reach and fragmented networks.","Yes","No","Yes","Medium","Founder","Rewrite more cautiously","No independent fragmentation study was performed."
"ABOUT-003","/about","vision","apps/web/src/content/about.ts","lines 65-72","Every Tamil should be connected empowered and celebrated.","A","E","Yes","source-materials/Tamil-Ulagam-Source.pptx","2","Vision statement.","No","No","Yes","Medium","Founder","Founder review","Official vision requires approval."
"ABOUT-004","/about","mission","apps/web/src/content/about.ts","lines 73-78","Build a comprehensive digital bridge through technology culture and collaboration.","A","E","Yes","source-materials/Tamil-Ulagam-Source.pptx","2","Mission statement.","No","No","Yes","Medium","Founder","Founder review","Official mission requires approval."
"ABOUT-005","/about","challenge","apps/web/src/content/about.ts","lines 80-106","Fragmentation continuity disconnected opportunity and uneven access are key challenges.","B","E;G","Yes","source-materials/Tamil-Ulagam-Source.pptx","3","Identity fragmentation and siloed networks.","Yes","No","Yes","Medium","Founder","Add evidence or source","Broader causal framing extends the source."
"ABOUT-006","/about","objectives","apps/web/src/content/about.ts","lines 108-142","Connect Preserve Empower Support Foster and Celebrate define the six objectives.","A","E","Yes","source-materials/Tamil-Ulagam-Source.pptx","5","Six core objectives.","No","No","Yes","Medium","Founder","Founder review","Descriptions are faithful expansions."
"ABOUT-007","/about","ecosystem","apps/web/src/content/about.ts","lines 144-181","Foundation Connection and Opportunity capabilities will be developed in stages.","C","H;J","Yes","source-materials/Tamil-Ulagam-Source.pptx","6-19","Source lists capabilities and a dated roadmap but not this layered model.","No","No","Yes","Medium","Product","Governance review","Building-the-foundation status is safe."
"ABOUT-008","/about","governance","apps/web/src/content/about.ts","lines 182-219","Clear ownership privacy-conscious design controlled administration honest communication and responsible collaboration are required.","D","E;F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Federation governance","Governance review","New institutional policy principles."
"ABOUT-009","/about","cultural statement","apps/web/src/content/about.ts","lines 220-265","The About page uses a Tamil quotation translation and global-home closing invitation.","A","E;G","Yes","source-materials/Tamil-Ulagam-Source.pptx","22","Quotation translation and closing vision.","Yes","No","Yes","Medium","Founder","Founder review","Verify text attribution and translation."
"INIT-001","/initiatives","metadata and hero","apps/web/src/app/initiatives/page.tsx","lines 18-26","Eight long-term initiatives span wellbeing learning economy knowledge culture and events.","A","E","Yes","source-materials/Tamil-Ulagam-Source.pptx","9-17","Eight initiative categories.","No","No","Yes","Medium","Founder","Founder review","All are presented as long-term."
"INIT-002","/initiatives","status","apps/web/src/content/initiatives.ts","lines 4-92","Every initiative is planned.","J","H","Yes","source-materials/Tamil-Ulagam-Source.pptx","9-17","Source often states capabilities without current-status qualification.","No","No","No","Low","No approval required","Keep as written","Prevents false availability."
"INIT-003","/initiatives","ecosystem groups","apps/web/src/content/initiatives-overview.ts","lines 122-174","Initiatives are grouped into human development opportunity/economy and knowledge/culture/global presence.","B","E","Yes","source-materials/Tamil-Ulagam-Source.pptx","9-17","Sector initiatives support the editorial grouping.","No","No","Yes","Low","Founder","Founder review","Grouping is not in the source."
"INIT-004","/initiatives","shared platform","apps/web/src/content/initiatives-overview.ts","lines 200-218","Initiatives may share identity profiles notifications trust and administrative foundations.","C","D;F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Product","Governance review","New platform architecture and data-use proposal."
"INIT-005","/initiatives","readiness","apps/web/src/content/initiatives-overview.ts","lines 220-238","Each initiative must meet usefulness trust and operational readiness before rollout.","D","J","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","No","Yes","Medium","Federation governance","Governance review","New release principle."
"INIT-006","/initiatives","participation CTA","apps/web/src/content/initiatives-overview.ts","lines 247-263","Partners and community members are invited to discuss shaping initiatives.","C","E","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","No","Yes","Medium","Partnerships","Founder review","CTA is informational because contact intake is unavailable."
"HEALTH-001","/initiatives/healthcare","scope","apps/web/src/content/initiative-details.ts","lines 78-134","Planned healthcare includes professional discovery Tamil-language resources wellbeing and partner-supported programmes.","H","C;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","9","Source claims doctors telemedicine camps mental health and hospitals.","Yes","Yes","Yes","High","Federation governance","Keep but label planned","No care delivery is claimed."
"HEALTH-002","/initiatives/healthcare","boundaries","apps/web/src/content/initiative-details.ts","lines 135-166","The platform is not a provider emergency service or substitute for clinical care.","J","D;F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Critical","Legal counsel","Legal review","Essential safety disclaimer."
"HEALTH-003","/initiatives/healthcare","readiness","apps/web/src/content/initiative-details.ts","lines 58-75","Healthcare rollout requires foundations partner readiness controlled pilot and responsible expansion.","D","C;F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Federation governance","Governance review","New cross-initiative stage model."
"HEALTH-004","/initiatives/healthcare","CTA and metadata","apps/web/src/app/initiatives/[slug]/page.tsx","lines 38-43","The page invites vision and partnership exploration while stating the initiative is planned.","J","C","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","No","No","Low","No approval required","Keep as written","No service CTA."
"EDU-001","/initiatives/education","scope","apps/web/src/content/initiative-details.ts","lines 181-247","Planned education covers Tamil learning culture resources tutors scholarships partnerships and youth programmes.","B","C;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","10","Courses curriculum scholarships marketplace and partnerships.","No","Yes","Yes","High","Federation governance","Keep but label planned","Youth and tutor models need safeguarding."
"EDU-002","/initiatives/education","omissions","apps/web/src/content/initiative-details.ts","lines 210-241","K-12 curriculum and a tuition marketplace are not promised as active services.","H","J;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","10","Source explicitly lists K-12 and tuition marketplace.","No","Yes","No","High","Legal counsel","Defer until operational","Risk-reducing omission."
"EDU-003","/initiatives/education","partnerships","apps/web/src/content/initiative-details.ts","lines 230-241","Educational partnerships are future and unnamed.","H","J;G","Yes","source-materials/Tamil-Ulagam-Source.pptx","10;13;21","Source claims university relationships and names universities.","Yes","No","Yes","High","Partnerships","Add evidence or source","No affiliation is implied."
"EDU-004","/initiatives/education","metadata","apps/web/src/app/initiatives/[slug]/page.tsx","lines 38-43","Education is planned and introduced only in responsible stages.","J","","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","No","No","Low","No approval required","Keep as written","Safe metadata qualification."
"BUSINESS-001","/initiatives/business","scope","apps/web/src/content/initiative-details.ts","lines 295-361","Planned business capabilities include a verified directory discovery B2B enquiries mentorship and partnerships.","B","C;D;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","11","Directory marketplace mentorship investment matching and summit.","No","Yes","Yes","High","Product","Governance review","Verification and enquiries are operating proposals."
"BUSINESS-002","/initiatives/business","transactions","apps/web/src/content/initiative-details.ts","lines 334-355","Marketplace transactions and investment matching are not offered.","H","J;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","11","Source proposes B2B/B2C marketplace and investment matching.","No","Yes","No","Critical","Legal counsel","Defer until operational","Avoid financial-service implication."
"BUSINESS-003","/initiatives/business","future offers","apps/web/src/content/initiative-details.ts","lines 349-355","Future member offers and services may be explored.","C","F;E","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Product","Legal review","Commercial terms are undefined."
"BUSINESS-004","/initiatives/business","summit","apps/web/src/content/initiative-details.ts","lines 295-398","No annual Tamil Business Summit is announced.","H","","Yes","source-materials/Tamil-Ulagam-Source.pptx","11","Source proposes an annual summit.","No","No","No","Low","No approval required","Keep as written","Deliberate omission."
"JOBS-001","/initiatives/jobs","scope","apps/web/src/content/initiative-details.ts","lines 412-478","Planned careers capabilities include profiles employer onboarding listings search applications and mentorship.","C","B;D;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","12","Job board employers profiles internships and matching.","No","Yes","Yes","High","Product","Governance review","Workflows extend the source."
"JOBS-002","/initiatives/jobs","targets","apps/web/src/content/initiative-details.ts","lines 412-514","No 10K Year-1 listing or 50-country claim is published.","H","G;L","Yes","source-materials/Tamil-Ulagam-Source.pptx","12","Source gives numeric listing and geography targets.","Yes","No","No","Critical","No approval required","Keep as written","Targets remain excluded."
"JOBS-003","/initiatives/jobs","recommendations","apps/web/src/content/initiative-details.ts","lines 471-472","Future relevance-based recommendations may support discovery.","H","C;D;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","12","Source calls this AI-powered job matching.","No","Yes","Yes","High","Product","Governance review","Bias transparency and legal review required."
"JOBS-004","/initiatives/jobs","verification","apps/web/src/content/initiative-details.ts","lines 446-452","Employer onboarding and structured listings may be verified.","C","D;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","12","Source claims verified Tamil-owned employers.","Yes","Yes","Yes","High","Operations","Add evidence or source","Verification standard does not yet exist."
"RESEARCH-001","/initiatives/research","scope","apps/web/src/content/initiative-details.ts","lines 527-594","Planned research covers discovery resources archives collaboration events datasets and innovation.","B","C;D","Yes","source-materials/Tamil-Ulagam-Source.pptx","13","Archive academic hub conference library and innovation.","No","Yes","Yes","Medium","Product","Governance review","Rights and data controls are additions."
"RESEARCH-002","/initiatives/research","relationships","apps/web/src/content/initiative-details.ts","lines 557-588","No university is named and no existing relationship is claimed.","H","G;L","Yes","source-materials/Tamil-Ulagam-Source.pptx","13;21","Source names universities.","Yes","No","No","Critical","Partnerships","Keep as written","Written confirmation required before naming."
"RESEARCH-003","/initiatives/research","grants conference","apps/web/src/content/initiative-details.ts","lines 572-583","Research opportunities and events are planned without grants or annual-conference commitments.","H","C;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","13","Source promises grants and annual conference.","No","Yes","Yes","High","Federation governance","Defer until operational","Funding authority is undefined."
"RESEARCH-004","/initiatives/research","archive rights","apps/web/src/content/initiative-details.ts","lines 562-583","Archives and datasets should be responsibly documented.","D","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Legal counsel","Legal review","Rights provenance privacy and access need policy."
"TOURISM-001","/initiatives/tourism","scope","apps/web/src/content/initiative-details.ts","lines 645-711","Planned tourism covers heritage discovery guidance providers chapters experiences resources and future integrations.","B","C;D;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","14","Guides homestays tours virtual tours food and official partners.","No","Yes","Yes","High","Product","Governance review","Provider and integration controls are new."
"TOURISM-002","/initiatives/tourism","official partners","apps/web/src/content/initiative-details.ts","lines 645-747","No tourism board is named and no official relationship is claimed.","H","G;L","Yes","source-materials/Tamil-Ulagam-Source.pptx","14","Source claims official Tamil Nadu and Sri Lanka tourism-board partnerships.","Yes","Yes","No","Critical","Partnerships","Keep as written","Written government confirmation required."
"TOURISM-003","/initiatives/tourism","booking","apps/web/src/content/initiative-details.ts","lines 684-705","Booking is only a future responsible integration.","H","C;F;J","Yes","source-materials/Tamil-Ulagam-Source.pptx","14","Source proposes homestays and tours without operating qualification.","No","Yes","Yes","High","Legal counsel","Defer until operational","Travel regulation and liability review required."
"TOURISM-004","/initiatives/tourism","local recommendations","apps/web/src/content/initiative-details.ts","lines 689-700","Future chapters may contribute recommendations and resources.","C","D;F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Medium","Chapter governance","Governance review","Editorial responsibility must be defined."
"CULTURE-001","/initiatives/arts-culture","scope","apps/web/src/content/initiative-details.ts","lines 762-829","Planned culture includes discovery archives programmes education collaboration recognition and preservation.","B","C;D","Yes","source-materials/Tamil-Ulagam-Source.pptx","15-16","Arts directory gallery awards and cultural programmes.","No","Yes","Yes","Medium","Editorial","Governance review","Rights and consent controls are new."
"CULTURE-002","/initiatives/arts-culture","awards","apps/web/src/content/initiative-details.ts","lines 817-823","Awards and recognition are future possibilities rather than active programmes.","H","J;E","Yes","source-materials/Tamil-Ulagam-Source.pptx","15-16","Source proposes annual awards.","No","Yes","Yes","High","Founder","Founder review","Selection governance required."
"CULTURE-003","/initiatives/arts-culture","video channel","apps/web/src/content/initiative-details.ts","lines 762-865","No Tamil Ulagam Arts video channel is claimed.","H","","Yes","source-materials/Tamil-Ulagam-Source.pptx","15","Source names a branded YouTube channel.","Yes","No","No","Medium","No approval required","Keep as written","Verify account control before adding."
"CULTURE-004","/initiatives/arts-culture","rights and safeguarding","apps/web/src/content/initiative-details.ts","lines 792-829","Cultural participation requires rights consent and youth safeguards.","D","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Legal counsel","Legal review","New policy requirement."
"EVENTVISION-001","/initiatives/global-events","scope","apps/web/src/content/initiative-details.ts","lines 880-946","Planned global-events capabilities include discovery listings registration hybrid access programme information and archives.","B","C;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","17","Global calendar and named events.","No","Yes","Yes","High","Event governance","Governance review","Operational model extends source."
"EVENTVISION-002","/initiatives/global-events","named events","apps/web/src/content/initiative-details.ts","lines 880-983","No named recurring event is announced.","H","J","Yes","source-materials/Tamil-Ulagam-Source.pptx","17","Source names six recurring events.","Yes","No","No","High","No approval required","Keep as written","No dates or operational claims."
"EVENTVISION-003","/initiatives/global-events","streaming","apps/web/src/content/initiative-details.ts","lines 929-940","Streaming and archives are future support concepts.","H","C;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","6;17","Source proposes a live streaming hub and events.","No","Yes","Yes","High","Event governance","Defer until operational","Rights consent and platform ownership required."
"EVENTVISION-004","/initiatives/global-events","registration","apps/web/src/content/initiative-details.ts","lines 919-925","Registration and attendance workflows are future.","C","F;J","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Medium","Event governance","Governance review","No registration is accepted."
"TAMILID-001","/tamil-id","metadata and hero","apps/web/src/app/tamil-id/page.tsx","lines 20-25","Tamil ID is a planned digital membership concept in development and not available.","H","J;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","8","Source presents membership and QR identity assertively.","No","Yes","Yes","High","Founder","Keep but label planned","Concept preview is explicit."
"TAMILID-002","/tamil-id","definition","apps/web/src/content/tamil-id.ts","lines 66-94","Tamil ID is a membership credential and not government nationality immigration passport or statutory identity.","D","F;J","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Critical","Legal counsel","Legal review","Essential distinction."
"TAMILID-003","/tamil-id","journey","apps/web/src/content/tamil-id.ts","lines 96-147","A proposed seven-stage journey runs from interest through review issuance and ongoing status.","C","D;F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Product","Governance review","Operating workflow needs accountable rules."
"TAMILID-004","/tamil-id","QR verification","apps/web/src/content/tamil-id.ts","lines 150-207","QR verification should expose only approved membership information and status.","D","F;L","Yes","source-materials/Tamil-Ulagam-Source.pptx","8","Source proposes secure QR membership but no disclosure design.","No","Yes","Yes","Critical","Security","Legal review","Threat model and privacy impact assessment required."
"TAMILID-005","/tamil-id","privacy","apps/web/src/content/tamil-id.ts","lines 210-254","Data minimisation consent retention deletion access controls and auditability govern membership data.","D","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","Critical","Privacy","Legal review","New privacy/security policy."
"TAMILID-006","/tamil-id","access","apps/web/src/content/tamil-id.ts","lines 258-274","Future member experiences may connect chapters events organisations and services.","C","H;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","8","Source promises partner acceptance benefits and services.","No","Yes","Yes","High","Product","Keep but label planned","Partner benefits remain unconfirmed."
"TAMILID-007","/tamil-id","governance rollout","apps/web/src/content/tamil-id.ts","lines 277-356","Credential status governance and staged rollout precede issuance and mobile access.","D","C;F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Federation governance","Governance review","New operating model."
"TAMILID-008","/tamil-id","FAQ boundaries","apps/web/src/content/tamil-id.ts","lines 359-407","Eligibility price duration partner acceptance and launch timing remain undecided.","J","H;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","8","Source claims universal free lifetime membership and partner acceptance.","No","Yes","Yes","Critical","Founder","Resolve contradiction","Website appropriately declines unapproved source assertions."
"CHAPTERS-001","/chapters","metadata and hero","apps/web/src/app/chapters/page.tsx","lines 23-28","A planned global chapter model is building its foundation.","H","J","Yes","source-materials/Tamil-Ulagam-Source.pptx","18","Source asserts 50+ chapters and locations.","Yes","No","Yes","High","Chapter governance","Keep but label planned","Concept caption prevents operational implication."
"CHAPTERS-002","/chapters","global-local model","apps/web/src/content/chapters.ts","lines 50-135","Local chapters would operate within shared federation standards and local responsibility.","B","C;D;E","Yes","source-materials/Tamil-Ulagam-Source.pptx","18","Global chapter network concept.","No","No","Yes","Medium","Chapter governance","Governance review","Specific authority model is new."
"CHAPTERS-003","/chapters","formation","apps/web/src/content/chapters.ts","lines 137-201","A proposed nine-stage formation journey leads from interest to recognition and review.","C","D;F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Chapter governance","Governance review","Recognition authority and fairness rules needed."
"CHAPTERS-004","/chapters","responsibilities","apps/web/src/content/chapters.ts","lines 204-221","Chapters would carry defined community cultural communication partnership and operational responsibilities.","C","D","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","No","Yes","Medium","Chapter governance","Governance review","New operating charter."
"CHAPTERS-005","/chapters","governance","apps/web/src/content/chapters.ts","lines 224-273","Authority diversity conflicts finance access audit complaints renewal suspension and closure require controls.","D","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Chapter governance","Legal review","New governance policy."
"CHAPTERS-006","/chapters","directory and status","apps/web/src/content/chapters.ts","lines 276-420","A future directory/status model distinguishes chapters organisations and members without claiming active entries.","C","D;J","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Chapter governance","Governance review","No active count or location should be inferred."
"CHAPTERS-007","/chapters","applications","apps/web/src/content/chapters.ts","lines 421-484","Chapter applications are not open and discussion does not confer recognition.","J","H;F","Yes","source-materials/Tamil-Ulagam-Source.pptx","18","Source presents an existing network.","No","Yes","No","High","No approval required","Keep as written","Protects against unauthorised representation."
"ROADMAP-001","/roadmap","metadata and hero","apps/web/src/app/roadmap/page.tsx","lines 21-26","Tamil Ulagam will develop in responsible stages across public foundation membership identity chapters initiatives and mobile access.","H","C;E","Yes","source-materials/Tamil-Ulagam-Source.pptx","19","Source supplies fixed dated phases.","No","No","Yes","Medium","Founder","Founder review","Undated stage model replaces commitments."
"ROADMAP-002","/roadmap","current foundation","apps/web/src/content/roadmap-page.ts","lines 31-105","The current phase is a public information foundation and not an operational platform.","J","H","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","No","No","Low","No approval required","Keep as written","Current repository scope."
"ROADMAP-003","/roadmap","phase sequence","apps/web/src/content/roadmap-page.ts","lines 106-206","Future work follows dependency-led stages rather than fixed public dates.","H","C;D","Yes","source-materials/Tamil-Ulagam-Source.pptx","19","Source commits to 2026-2029 phases and targets.","No","No","Yes","High","Federation governance","Governance review","No delivery promise should be inferred."
"ROADMAP-004","/roadmap","readiness gates","apps/web/src/content/roadmap-page.ts","lines 207-300","Governance legal privacy security operations and measurement gates precede release.","D","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Federation governance","Governance review","New release policy."
"ROADMAP-005","/roadmap","targets","apps/web/src/content/roadmap-page.ts","lines 106-300","No membership chapter jobs student healthcare trade or date target is published.","H","G;L","Yes","source-materials/Tamil-Ulagam-Source.pptx","19-20","Source gives fixed targets and projections.","Yes","No","No","Critical","No approval required","Keep as written","Source has conflicting membership dates."
"ROADMAP-006","/roadmap","change transparency","apps/web/src/content/roadmap-page.ts","lines 301-375","Roadmap changes should be explained and should not imply certainty.","D","J","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","No","Yes","Medium","Federation governance","Governance review","New transparency principle."
"PARTNERS-001","/partners","metadata and hero","apps/web/src/app/partners/page.tsx","lines 23-28","Tamil Ulagam invites responsible collaboration governed by due diligence and data boundaries.","C","D;E","Yes","source-materials/Tamil-Ulagam-Source.pptx","21","Source proposes partner sectors and names institutions but not controls.","No","Yes","Yes","High","Partnerships","Governance review","No relationship is implied."
"PARTNERS-002","/partners","categories and models","apps/web/src/content/partners.ts","lines 38-185","Future collaboration may span community education healthcare business research culture and technology models.","B","C;E","Yes","source-materials/Tamil-Ulagam-Source.pptx","9-15;21","Initiative and partner categories.","No","No","Yes","Medium","Partnerships","Founder review","Models expand source categories."
"PARTNERS-003","/partners","boundaries","apps/web/src/content/partners.ts","lines 186-255","A conversation or listing does not establish endorsement affiliation authority or access.","D","F;J","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Legal counsel","Legal review","Essential non-affiliation boundary."
"PARTNERS-004","/partners","pathway and status","apps/web/src/content/partners.ts","lines 256-392","A proposed review pathway and status model governs potential partnerships.","C","D;F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Partnerships","Governance review","New operating workflow."
"PARTNERS-005","/partners","due diligence","apps/web/src/content/partners.ts","lines 393-468","Identity authority conflicts reputation safeguarding and legal fit require due diligence.","D","F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","Yes","High","Partnerships","Legal review","New governance policy."
"PARTNERS-006","/partners","named relationships","apps/web/src/content/partners.ts","lines 38-573","No government UNESCO university association logo or active partner directory is published.","H","G;J;L","Yes","source-materials/Tamil-Ulagam-Source.pptx","13;14;21","Source names multiple institutions and official relationships.","Yes","Yes","No","Critical","Partnerships","Keep as written","Written confirmation and mark permission required."
"PARTNERS-007","/partners","interest CTA","apps/web/src/content/partners.ts","lines 469-573","Interest may begin a conversation but does not create a partnership.","J","C;F","No","source-materials/Tamil-Ulagam-Source.pptx","","No direct PPT source found.","No","Yes","No","Medium","Partnerships","Keep as written","No submission channel is active."
